class_name,topic,word,meaning,romaji,ex,trans,image_url
n5_adj_abunai,tinhtu,危ない,nguy hiểm,abunai,危ないですよ！,Nguy hiểm đấy!,https://source.unsplash.com/featured/400x400?dangerous
n5_adj_akarui,tinhtu_i,明るい,sáng,akarui,明るい部屋。,Căn phòng sáng.,https://source.unsplash.com/featured/400x400?bright
n5_adj_amai,tinhtu_i,甘い,ngọt,amai,甘いお菓子。,Bánh kẹo ngọt.,https://source.unsplash.com/featured/400x400?sweet
n5_adj_atarashii,tinhtu,新しい,mới,atarashii,新しい靴。,Giày mới.,https://source.unsplash.com/featured/400x400?new
n5_adj_atsui,tinhtu,暑い,nóng (thời tiết),atsui,今日は暑い。,Hôm nay nóng.,https://source.unsplash.com/featured/400x400?hot+weather
n5_adj_atsui,tinhtu_i,熱い,nóng (khi chạm vào),atsui,スープが熱い。,Súp nóng.,https://source.unsplash.com/featured/400x400?hot
n5_adj_atatakai,tinhtu_i,暖かい,ấm áp (thời tiết),atatakai,春は暖かい。,Mùa xuân ấm áp.,https://source.unsplash.com/featured/400x400?warm+weather
n5_adj_chiisai,tinhtu,小さい,nhỏ,chiisai,小さい猫。,Con mèo nhỏ.,https://source.unsplash.com/featured/400x400?small
n5_adj_furui,tinhtu,古い,cũ,furui,古い車。,Xe cũ.,https://source.unsplash.com/featured/400x400?old
n5_adj_futoi,tinhtu_i,太い,to/béo,futoi,腕が太い。,Cánh tay to.,https://source.unsplash.com/featured/400x400?fat
n5_adj_hikui,tinhtu,低い,thấp,hikui,背が低い。,Dáng thấp.,https://source.unsplash.com/featured/400x400?short
n5_adj_hiroi,tinhtu_i,広い,rộng,hiroi,広い部屋。,Căn phòng rộng.,https://source.unsplash.com/featured/400x400?wide
n5_adj_hoshii,tinhtu_i,欲しい,muốn có,hoshii,車が欲しい。,Tôi muốn có ô tô.,https://source.unsplash.com/featured/400x400?want
n5_adj_hosoi,tinhtu_i,細い,mỏng/gầy,hosoi,足が細い。,Chân thon.,https://source.unsplash.com/featured/400x400?thin
n5_adj_isogashii,tinhtu,忙しい,bận rộn,isogashii,仕事が忙しい。,Công việc bận rộn.,https://source.unsplash.com/featured/400x400?busy
